任务id,子任务ID,（LV),任务所在场景,接NPC(ID),接场景ID,交NPC(ID),交场景ID,iconclass,任务名称,任务描述,任务条件描述,完成条件,新增上缴材料,累计完成条件,图标显示用type,奖励用户属性,奖励道具,奖励装饰物
,,,,,,,,,,,,,,,,,,
2001,3001,1,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/5次魔法,1/type:3;id:0;num:5;,0,0,0,exp:20;,"[[21,1]]",[]
2002,3002,1,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/3次,1/type:4;id:0;num:3;,,,,exp:20;,"[[21,1]]",[]
2003,3003,2,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用1次变化咒<!1@>/1,1/type:11;id:0;num:1;,,,,exp:20;,"[[21,1]]",[]
2004,3004,2,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/2,1/type:11;id:0;num:2;,,,,exp:30;,"[[21,1]]",[]
2005,3005,3,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/5个黄水晶,,1/type:2;id:8311;num:5;,,1/cat:1;id:8311;num:5;,exp:20;,"[[21,1]]",[]
2006,3006,3,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成一个木制门,木制门<!1@>/1,1/type:1;id:192001;num:1;,,,,exp:20;,"[[21,1]]",[]
2007,3007,3,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成一个木制灯,木制灯<!1@>/1,1/type:1;id:195001;num:1;,,,,exp:20;,"[[21,1]]",[]
2008,3008,4,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/1,,,1/invite_friends_num:>=1;,,exp:20;,"[[21,1]]",[]
2009,3009,4,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/4次,1/type:4;id:0;num:4;,,,,exp:20;,"[[21,1]]",[]
2010,3010,5,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/2种以上的魔法,,,1/study_magic_num:>=2;,,exp:20;,"[[21,1]]",[]
2011,3011,6,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/7级,,,1/level:>=7;,,exp:15;,"[[21,1]]",[]
2012,3012,6,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/5次,1/type:4;id:0;num:5;,,,,exp:20;,"[[21,1]]",[]
2013,3013,7,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/100G,1/type:9;id:0;num:100;,,,,exp:20;,"[[21,1]]",[]
2014,3014,8,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/3种以上的魔法,,,1/study_magic_num:>=3;,,exp:30;,"[[21,1]]",[]
2015,3015,8,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/10个黄水晶,,1/type:2;id:8311;num:10;,,1/cat:1;id:8311;num:10;,exp:30;,"[[21,1]]",[]
2016,3016,9,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/10级,,,1/level:>=10;,,exp:15;,"[[21,1]]",[]
2017,3017,11,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/6次魔法,1/type:3;id:0;num:6;,0,0,0,exp:20;,"[[21,1]]",[]
2018,3018,11,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/5次,1/type:4;id:0;num:5;,,,,exp:30;,"[[21,1]]",[]
2019,3019,11,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用3次变化咒<!1@>/3,1/type:11;id:0;num:3;,,,,exp:80;,"[[21,1]]",[]
2020,3020,12,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/15个黄水晶,,1/type:2;id:8311;num:15;,,1/cat:1;id:8311;num:15;,exp:30;,"[[21,1]]",[]
2021,3021,12,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/7次魔法,1/type:3;id:0;num:7;,0,0,0,exp:20;,"[[21,1]]",[]
2022,3022,13,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成2个绿色罐子,合成2个绿色罐子<!1@>/2,1/type:1;id:195002;num:2;,,,,exp:30;,"[[21,1]]",[]
2023,3023,13,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/2,,,1/invite_friends_num:>=2;,,exp:80;,"[[21,1]]",[]
2024,3024,13,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/200G,1/type:9;id:0;num:200;,,,,exp:30;,"[[21,1]]",[]
2025,3025,14,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/4种以上的魔法,,,1/study_magic_num:>=4;,,exp:80;,"[[21,1]]",[]
2026,3026,14,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/15级,,,1/level:>=15;,,exp:30;,"[[21,1]]",[]
2027,3027,14,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/5次,1/type:4;id:0;num:5;,,,,exp:80;,"[[21,1]]",[]
2028,3028,15,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/300G,1/type:9;id:0;num:300;,,,,exp:80;,"[[21,1]]",[]
2029,3029,15,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/5种以上的魔法,,,1/study_magic_num:>=5;,,exp:80;,"[[21,1]]",[]
2030,3030,15,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/20个黄水晶,,1/type:2;id:8311;num:20;,,1/cat:1;id:8311;num:20;,exp:80;,"[[21,1]]",[]
2031,3031,15,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/17级,,,1/level:>=17;,,exp:30;,"[[21,1]]",[]
2032,3032,16,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/8次魔法,1/type:3;id:0;num:8;,0,0,0,exp:80;,"[[21,1]]",[]
2033,3033,16,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/5次,1/type:4;id:0;num:5;,,,,exp:80;,"[[21,1]]",[]
2034,3034,16,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用5次变化咒<!1@>/5,1/type:11;id:0;num:5;,,,,exp:150;,"[[21,1]]",[]
2035,3035,16,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/9次魔法,1/type:3;id:0;num:9;,0,0,0,exp:80;,"[[21,1]]",[]
2036,3036,16,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/6次,1/type:4;id:0;num:6;,,,,exp:80;,"[[21,1]]",[]
2037,3037,17,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用1次变化咒<!1@>/6,1/type:11;id:0;num:6;,,,,exp:150;,"[[21,1]]",[]
2038,3038,17,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/7,1/type:11;id:0;num:7;,,,,exp:150;,"[[21,1]]",[]
2039,3039,17,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/25个黄水晶,,1/type:2;id:8311;num:25;,,1/cat:1;id:8311;num:25;,exp:80;,"[[21,1]]",[]
2040,3040,17,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成2个红色罐子,红色罐子<!1@>/2,1/type:1;id:195003;num:1;,,,,exp:80;,"[[21,1]]",[]
2041,3041,17,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成一个小母鸡石像,小母鸡石像<!1@>/1,1/type:1;id:195034;num:1;,,,,exp:80;,"[[21,1]]",[]
2042,3042,18,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/3,,,1/invite_friends_num:>=3;,,exp:150;,"[[21,1]]",[]
2043,3043,18,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/7次,1/type:4;id:0;num:7;,,,,exp:80;,"[[21,1]]",[]
2044,3044,18,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/6种以上的魔法,,,1/study_magic_num:>=6;,,exp:80;,"[[21,1]]",[]
2045,3045,18,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/19级,,,1/level:>=19;,,exp:80;,"[[21,1]]",[]
2046,3046,18,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/8次,1/type:4;id:0;num:8;,,,,exp:80;,"[[21,1]]",[]
2047,3047,19,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/500G,1/type:9;id:0;num:500;,,,,exp:80;,"[[21,1]]",[]
2048,3048,19,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/7种以上的魔法,,,1/study_magic_num:>=7;,,exp:80;,"[[21,1]]",[]
2049,3049,19,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/5个褐水晶,,1/type:2;id:8312;num:5;,,1/cat:1;id:8312;num:5;,exp:80;,"[[21,1]]",[]
2050,3050,19,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/20级,,,1/level:>=20;,,exp:80;,"[[21,1]]",[]
2051,3051,19,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/10次魔法,1/type:3;id:0;num:10;,0,0,0,exp:80;,"[[21,1]]",[]
2052,3052,20,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/9次,1/type:4;id:0;num:9;,,,,exp:150;,"[[21,1]]",[]
2053,3053,20,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用3次变化咒<!1@>/8,1/type:11;id:0;num:8;,,,,exp:150;,"[[21,1]]",[]
2054,3054,20,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/10个褐水晶,,1/type:2;id:8312;num:10;,,1/cat:1;id:8312;num:10;,exp:80;,"[[21,1]]",[]
2055,3055,20,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/11次魔法,1/type:3;id:0;num:11;,0,0,0,exp:150;,"[[21,1]]",[]
2056,3056,20,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成一个木头人石像,木头人石像<!1@>/1,1/type:1;id:195054;num:1;,,,,exp:80;,"[[21,1]]",[]
2057,3057,21,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/4,,,1/invite_friends_num:>=4;,,exp:150;,"[[21,1]]",[]
2058,3058,21,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/500G,1/type:9;id:0;num:500;,,,,exp:80;,"[[21,1]]",[]
2059,3059,21,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/8种以上的魔法,,,1/study_magic_num:>=8;,,exp:150;,"[[21,1]]",[]
2060,3060,21,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/22级,,,1/level:>=22;,,exp:80;,"[[21,1]]",[]
2061,3061,21,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/10次,1/type:4;id:0;num:10;,,,,exp:150;,"[[21,1]]",[]
2062,3062,22,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/500G,1/type:9;id:0;num:500;,,,,exp:80;,"[[21,1]]",[]
2063,3063,22,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/12次魔法,1/type:3;id:0;num:12;,0,0,0,exp:150;,"[[21,1]]",[]
2064,3064,22,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/11次,1/type:4;id:0;num:11;,,,,exp:150;,"[[21,1]]",[]
2065,3065,22,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用1次变化咒<!1@>/8,1/type:11;id:0;num:8;,,,,exp:150;,"[[21,1]]",[]
2066,3066,22,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/9,1/type:11;id:0;num:9;,,,,exp:150;,"[[21,1]]",[]
2067,3067,23,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/15个褐水晶,,1/type:2;id:8312;num:15;,,1/cat:1;id:8312;num:15;,exp:150;,"[[21,1]]",[]
2068,3068,23,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成一个食人花石像,食人花石像<!1@>/1,1/type:1;id:195062;num:1;,,,,exp:150;,"[[21,1]]",[]
2069,3069,23,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成5个初级小木桌,初级小木桌<!1@>/5,1/type:1;id:191001;num:5;,,,,exp:150;,"[[21,1]]",[]
2070,3070,23,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/5,,,1/invite_friends_num:>=5;,,exp:150;,"[[21,1]]",[]
2071,3071,23,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/12次,1/type:4;id:0;num:12;,,,,exp:150;,"[[21,1]]",[]
2072,3072,24,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/9种以上的魔法,,,1/study_magic_num:>=9;,,exp:150;,"[[21,1]]",[]
2073,3073,24,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/25级,,,1/level:>=25;,,exp:80;,"[[21,1]]",[]
2074,3074,24,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/13次,1/type:4;id:0;num:13;,,,,exp:150;,"[[21,1]]",[]
2075,3075,24,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/500G,1/type:9;id:0;num:500;,,,,exp:80;,"[[21,1]]",[]
2076,3076,24,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/10种以上的魔法,,,1/study_magic_num:>=10;,,exp:150;,"[[21,1]]",[]
2077,3077,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/20个褐水晶,,1/type:2;id:8312;num:20;,,1/cat:1;id:8312;num:20;,exp:150;,"[[21,1]]",[]
2078,3078,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/26级,,,1/level:>=26;,,exp:80;,"[[21,1]]",[]
2079,3079,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/13次魔法,1/type:3;id:0;num:13;,0,0,0,exp:150;,"[[21,1]]",[]
2080,3080,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/14次,1/type:4;id:0;num:14;,,,,exp:150;,"[[21,1]]",[]
2081,3081,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用1次变化咒<!1@>/9,1/type:11;id:0;num:9;,,,,exp:150;,"[[21,1]]",[]
2082,3082,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2083,3083,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/25个褐水晶,,1/type:2;id:8312;num:25;,,1/cat:1;id:8312;num:25;,exp:150;,"[[21,1]]",[]
2084,3084,25,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成3个黄框木门,黄框木门<!1@>/3,1/type:1;id:192002;num:3;,,,,exp:150;,"[[21,1]]",[]
2085,3085,26,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成5个绿色墙纸,绿色墙纸<!1@>/5,1/type:1;id:1194001;num:5;,,,,exp:240;,"[[21,1]]",[]
2086,3086,26,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/6,,,1/invite_friends_num:>=6;,,exp:150;,"[[21,1]]",[]
2087,3087,26,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2088,3088,26,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/11种以上的魔法,,,1/study_magic_num:>=11;,,exp:240;,"[[21,1]]",[]
2089,3089,26,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/27级,,,1/level:>=27;,,exp:150;,"[[21,1]]",[]
2090,3090,27,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2091,3091,27,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/500G,1/type:9;id:0;num:500;,,,,exp:80;,"[[21,1]]",[]
2092,3092,27,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/12种以上的魔法,,,1/study_magic_num:>=12;,,exp:240;,"[[21,1]]",[]
2093,3093,27,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/30个褐水晶,,1/type:2;id:8313;num:30;,,1/cat:1;id:8312;num:30;,exp:240;,"[[21,1]]",[]
2094,3094,27,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/28级,,,1/level:>=28;,,exp:150;,"[[21,1]]",[]
2095,3095,28,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/14次魔法,1/type:3;id:0;num:14;,0,0,0,exp:240;,"[[21,1]]",[]
2096,3096,28,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2097,3097,28,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:240;,"[[21,1]]",[]
2098,3098,28,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/5个红水晶,,1/type:2;id:8313;num:5;,,1/cat:1;id:8313;num:5;,exp:240;,"[[21,1]]",[]
