任务id,子任务ID,（LV),任务所在场景,接NPC(ID),接场景ID,交NPC(ID),交场景ID,iconclass,任务名称,任务描述,任务条件描述,完成条件,新增上缴材料,累计完成条件,图标显示用type,奖励用户属性,奖励道具,奖励装饰物
2296,3296,58,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个兔子灯,合成1个兔子灯<!1@>/1,1/type:1;id:197030;num:1;,,,,exp:850;,"[[21,1]]",[]
2297,3297,58,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个水图腾窗,合成1个水图腾窗<!1@>/1,1/type:1;id:197031;num:1;,,,,exp:850;,"[[21,1]]",[]
2298,3298,58,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/20,,,1/invite_friends_num:>=20;,,exp:500;,"[[21,1]]",[]
2299,3299,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2300,3300,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/35种以上的魔法,,,1/study_magic_num:>=35;,,exp:850;,"[[21,1]]",[]
2301,3301,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/60级,,,1/level:>=60;,,exp:1500;,"[[21,1]]",[]
2302,3302,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2303,3303,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/2500G,1/type:9;id:0;num:2500;,,,,exp:500;,"[[21,1]]",[]
2304,3304,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/36种以上的魔法,,,1/study_magic_num:>=36;,,exp:850;,"[[21,1]]",[]
2305,3305,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/15个紫水晶,,1/type:2;id:8316;num:15;,,1/cat:1;id:8316;num:15;,exp:875;,"[[21,1]]",[]
2306,3306,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/61级,,,1/level:>=61;,,exp:1800;,"[[21,1]]",[]
2307,3307,59,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/36次魔法,1/type:3;id:0;num:36;,0,0,0,exp:1150;,"[[21,1]]",[]
2308,3308,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2309,3309,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2310,3310,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/20个紫水晶,,1/type:2;id:8316;num:20;,,1/cat:1;id:8316;num:20;,exp:875;,"[[21,1]]",[]
2311,3311,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/37次魔法,1/type:3;id:0;num:37;,0,0,0,exp:1150;,"[[21,1]]",[]
2312,3312,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个云图腾窗,合成1个云图腾窗<!1@>/1,1/type:1;id:197033;num:1;,,,,exp:850;,"[[21,1]]",[]
2313,3313,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/21,,,1/invite_friends_num:>=21;,,exp:500;,"[[21,1]]",[]
2314,3314,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3000G,1/type:9;id:0;num:3000;,,,,exp:700;,"[[21,1]]",[]
2315,3315,60,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/37种以上的魔法,,,1/study_magic_num:>=37;,,exp:1000;,"[[21,1]]",[]
2316,3316,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/62级,,,1/level:>=62;,,exp:1800;,"[[21,1]]",[]
2317,3317,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2318,3318,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3000G,1/type:9;id:0;num:3000;,,,,exp:700;,"[[21,1]]",[]
2319,3319,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/38次魔法,1/type:3;id:0;num:38;,0,0,0,exp:1450;,"[[21,1]]",[]
2320,3320,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2321,3321,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2322,3322,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2323,3323,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/25个紫水晶,,1/type:2;id:8316;num:25;,,1/cat:1;id:8316;num:25;,exp:1100;,"[[21,1]]",[]
2324,3324,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个蓝色方桌,合成1个蓝色方桌<!1@>/1,1/type:1;id:191004;num:1;,,,,exp:850;,"[[21,1]]",[]
2325,3325,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成1个玻璃门,合成1个玻璃门<!1@>/1,1/type:1;id:192004;num:1;,,,,exp:850;,"[[21,1]]",[]
2326,3326,61,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/22,,,1/invite_friends_num:>=22;,,exp:500;,"[[21,1]]",[]
2327,3327,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2328,3328,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1000;,"[[21,1]]",[]
2329,3329,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/63级,,,1/level:>=63;,,exp:1800;,"[[21,1]]",[]
2330,3330,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2331,3331,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3000G,1/type:9;id:0;num:3000;,,,,exp:700;,"[[21,1]]",[]
2332,3332,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1000;,"[[21,1]]",[]
2333,3333,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/30个紫水晶,,1/type:2;id:8316;num:30;,,1/cat:1;id:8316;num:30;,exp:1100;,"[[21,1]]",[]
2334,3334,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/64级,,,1/level:>=64;,,exp:1800;,"[[21,1]]",[]
2335,3335,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/39次魔法,1/type:3;id:0;num:39;,0,0,0,exp:1450;,"[[21,1]]",[]
2336,3336,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2337,3337,62,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2338,3338,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/5个黑水晶,,1/type:2;id:8317;num:5;,,1/cat:1;id:8317;num:5;,exp:1100;,"[[21,1]]",[]
2339,3339,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/40次魔法,1/type:3;id:0;num:40;,0,0,0,exp:1450;,"[[21,1]]",[]
2340,3340,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成10个花斑石砖,合成合成10个花斑石砖<!1@>/10,1/type:1;id:195002;num:10;,,,,exp:850;,"[[21,1]]",[]
2341,3341,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/23,,,1/invite_friends_num:>=23;,,exp:700;,"[[21,1]]",[]
2342,3342,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3000G,1/type:9;id:0;num:3000;,,,,exp:700;,"[[21,1]]",[]
2343,3343,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1000;,"[[21,1]]",[]
2344,3344,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/65级,,,1/level:>=65;,,exp:1800;,"[[21,1]]",[]
2345,3345,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2346,3346,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3000G,1/type:9;id:0;num:3000;,,,,exp:700;,"[[21,1]]",[]
2347,3347,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1000;,"[[21,1]]",[]
2348,3348,63,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/10个黑水晶,,1/type:2;id:8317;num:10;,,1/cat:1;id:8317;num:10;,exp:1100;,"[[21,1]]",[]
2349,3349,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/66级,,,1/level:>=66;,,exp:1800;,"[[21,1]]",[]
2350,3350,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/45次魔法,1/type:3;id:0;num:45;,0,0,0,exp:1450;,"[[21,1]]",[]
2351,3351,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2352,3352,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2353,3353,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/46次魔法,1/type:3;id:0;num:46;,0,0,0,exp:1450;,"[[21,1]]",[]
2354,3354,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2355,3355,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2356,3356,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2357,3357,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/15个黑水晶,,1/type:2;id:8317;num:15;,,1/cat:1;id:8317;num:15;,exp:1100;,"[[21,1]]",[]
2358,3358,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成10个花斑石砖,合成合成10个花斑石砖<!1@>/10,1/type:1;id:195002;num:10;,,,,exp:850;,"[[21,1]]",[]
2359,3359,64,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成10个花斑石砖,合成合成10个花斑石砖<!1@>/10,1/type:1;id:195002;num:10;,,,,exp:850;,"[[21,1]]",[]
2360,3360,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/24,,,1/invite_friends_num:>=24;,,exp:700;,"[[21,1]]",[]
2361,3361,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2362,3362,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1500;,"[[21,1]]",[]
2363,3363,66,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/67级,,,1/level:>=67;,,exp:2200;,"[[21,1]]",[]
2364,3364,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2365,3365,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3500G,1/type:9;id:0;num:3500;,,,,exp:875;,"[[21,1]]",[]
2366,3366,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1500;,"[[21,1]]",[]
2367,3367,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/20个黑水晶,,1/type:2;id:8317;num:20;,,1/cat:1;id:8317;num:20;,exp:1100;,"[[21,1]]",[]
2368,3368,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/68级,,,1/level:>=68;,,exp:2200;,"[[21,1]]",[]
2369,3369,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/47次魔法,1/type:3;id:0;num:47;,0,0,0,exp:1450;,"[[21,1]]",[]
2370,3370,65,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2371,3371,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:500;,"[[21,1]]",[]
2372,3372,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/25个黑水晶,,1/type:2;id:8317;num:25;,,1/cat:1;id:8317;num:25;,exp:1500;,"[[21,1]]",[]
2373,3373,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/48次魔法,1/type:3;id:0;num:48;,0,0,0,exp:1800;,"[[21,1]]",[]
2374,3374,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成10个花斑石砖,合成合成10个花斑石砖<!1@>/10,1/type:1;id:195002;num:10;,,,,exp:850;,"[[21,1]]",[]
2375,3375,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/25,,,1/invite_friends_num:>=25;,,exp:700;,"[[21,1]]",[]
2376,3376,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3500G,1/type:9;id:0;num:3500;,,,,exp:875;,"[[21,1]]",[]
2377,3377,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1500;,"[[21,1]]",[]
2378,3378,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/69级,,,1/level:>=69;,,exp:2200;,"[[21,1]]",[]
2379,3379,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2380,3380,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3500G,1/type:9;id:0;num:3500;,,,,exp:875;,"[[21,1]]",[]
2381,3381,67,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/49次魔法,1/type:3;id:0;num:49;,0,0,0,exp:1800;,"[[21,1]]",[]
2382,3382,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2383,3383,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:800;,"[[21,1]]",[]
2384,3384,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/10,1/type:11;id:0;num:10;,,,,exp:800;,"[[21,1]]",[]
2385,3385,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/30个黑水晶,,1/type:2;id:8317;num:30;,,1/cat:1;id:8317;num:30;,exp:1500;,"[[21,1]]",[]
2386,3386,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成10个花斑石砖,合成合成10个花斑石砖<!1@>/10,1/type:1;id:195002;num:10;,,,,exp:850;,"[[21,1]]",[]
2387,3387,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成10个花斑石砖,合成合成10个花斑石砖<!1@>/10,1/type:1;id:195002;num:10;,,,,exp:850;,"[[21,1]]",[]
2388,3388,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/26,,,1/invite_friends_num:>=26;,,exp:700;,"[[21,1]]",[]
2389,3389,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2390,3390,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/38种以上的魔法,,,1/study_magic_num:>=38;,,exp:1500;,"[[21,1]]",[]
2391,3391,69,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/70级,,,1/level:>=70;,,exp:2200;,"[[21,1]]",[]
2392,3392,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/15次,1/type:4;id:0;num:15;,,,,exp:240;,"[[21,1]]",[]
2393,3393,68,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/3500G,1/type:9;id:0;num:3500;,,,,exp:875;,"[[21,1]]",[]
