id,类,魔法名称,需要人物等级,magic_classname,catoon_classname,学习魔法需要m币,,,需要钻石,学习时间(秒）,施放消耗魔法值,收益m币,,,获得经验,异常状态概率%,偷获得最低,偷获得最高,被偷获得最低,被偷获得最高,最低保护%,魔法课程文字说明,m币收益 变量,,,,,,,,,,
,,,,,,cion,蓝色,绿色,,,,cion,蓝色,绿色,,,,,,,,,3,,,,,,,,,,
1001,1,火焰控制,1,magicbook.1.firelv1,magicshow.1.firect1,0,0,0,0,150,10,36 ,0,0,10,50 ,4 ,7 ,4 ,7 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,power,,,,,,,,,,
1002,1,火星,5,magicbook.1.firelv2,magicshow.1.firect2,500,0,0,0,300,20,76 ,0,0,20,50 ,8 ,15 ,8 ,15 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,1.2,,,,,,,,,,
1003,1,大火球,10,magicbook.1.firelv3,magicshow.1.firect3,1000,0,0,5,450,30,119 ,0,0,30,50 ,12 ,24 ,12 ,24 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
1004,1,火焰专精,13,magicbook.1.firelv4,magicshow.1.firect4,3000,0,0,10,600,40,166 ,0,0,40,50 ,17 ,33 ,17 ,33 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
1005,1,熔岩,17,magicbook.1.firelv5,magicshow.1.firect5,6000,0,0,20,750,50,216 ,0,0,50,50 ,22 ,43 ,22 ,43 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
1006,1,蝴蝶,21,magicbook.1.firelv6,magicshow.1.firect6,12000,0,0,50,900,60,270 ,0,0,60,50 ,27 ,54 ,27 ,54 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
1007,1,火箭,25,magicbook.1.firelv7,magicshow.1.firect7,24000,0,0,100,1050,70,328 ,0,0,70,50 ,33 ,66 ,33 ,66 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
1008,1,火焰盾,29,magicbook.1.firelv8,magicshow.1.firect8,50000,0,0,175,1200,80,389 ,0,0,80,50 ,39 ,78 ,39 ,78 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
1009,1,火元素,33,magicbook.1.firelv9,magicshow.1.firect9,75000,0,0,260,1350,90,454 ,0,0,90,50 ,45 ,91 ,45 ,91 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
1010,1,凤凰,36,magicbook.1.firelv10,magicshow.1.firect10,100000,0,0,380,1500,100,540 ,0,0,100,50 ,54 ,108 ,54 ,108 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
2001,2,造水,2,magicbook.1.waterlv1,magicshow.1.waterct1,100,0,0,0,150,12,43 ,0,0,10,50 ,4 ,7 ,4 ,7 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
2002,2,水泡,6,magicbook.1.waterlv2,magicshow.1.waterct2,500,0,0,0,300,22,83 ,0,0,20,50 ,8 ,15 ,8 ,15 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
2003,2,冰箭,11,magicbook.1.waterlv3,magicshow.1.waterct3,1000,0,0,5,450,32,127 ,0,0,30,50 ,12 ,24 ,12 ,24 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
2004,2,冰箱,14,magicbook.1.waterlv4,magicshow.1.waterct4,3000,0,0,10,600,42,174 ,0,0,40,50 ,17 ,33 ,17 ,33 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
2005,2,漩涡,18,magicbook.1.waterlv5,magicshow.1.waterct5,6000,0,0,20,750,52,225 ,0,0,50,50 ,22 ,43 ,22 ,43 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
2006,2,冰眼,22,magicbook.1.waterlv6,magicshow.1.waterct6,12000,0,0,50,900,62,279 ,0,0,60,50 ,27 ,54 ,27 ,54 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
2007,2,水纹,26,magicbook.1.waterlv7,magicshow.1.waterct7,24000,0,0,100,1050,72,337 ,0,0,70,50 ,33 ,66 ,33 ,66 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
2008,2,冷却,30,magicbook.1.waterlv7,magicshow.1.waterct8,50000,0,0,175,1200,82,399 ,0,0,80,50 ,39 ,78 ,39 ,78 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
2009,2,水精灵,34,magicbook.1.waterlv9,magicshow.1.waterct9,75000,0,0,260,1350,92,464 ,0,0,90,50 ,45 ,91 ,45 ,91 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
2010,2,海豚,37,magicbook.1.waterlv10,magicshow.1.waterct10,100000,0,0,380,1500,102,551 ,0,0,100,50 ,54 ,108 ,54 ,108 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
3001,3,小草,3,magicbook.1.woodlv1,magicshow.1.woodct1,100,0,100,0,150,16,58 ,0,0,10,50 ,4 ,7 ,4 ,3 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
3002,3,三叶草,7,magicbook.1.woodlv2,magicshow.1.woodct2,500,0,500,0,300,26,98 ,0,0,20,50 ,8 ,15 ,8 ,15 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
3003,3,木之声,12,magicbook.1.woodlv3,magicshow.1.woodct3,1000,0,1000,5,450,36,143 ,0,0,30,50 ,12 ,24 ,12 ,24 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
3004,3,木盾,15,magicbook.1.woodlv4,magicshow.1.woodct4,3000,0,3000,10,600,46,190 ,0,0,40,50 ,17 ,33 ,17 ,33 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
3005,3,木风车,19,magicbook.1.woodlv5,magicshow.1.woodct5,6000,0,6000,20,750,56,242 ,0,0,50,50 ,22 ,43 ,22 ,43 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
3006,3,飞叶术,23,magicbook.1.woodlv6,magicshow.1.woodct6,12000,0,12000,50,900,66,297 ,0,0,60,50 ,27 ,54 ,27 ,54 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
3007,3,果实爆炸,27,magicbook.1.woodlv7,magicshow.1.woodct7,24000,0,24000,100,1050,76,356 ,0,0,70,50 ,33 ,66 ,33 ,66 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
3008,3,星星种子,31,magicbook.1.woodlv8,magicshow.1.woodct8,50000,0,50000,175,1200,86,418 ,0,0,80,50 ,39 ,78 ,39 ,78 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
3009,3,蝴蝶,35,magicbook.1.woodlv9,magicshow.1.woodct9,75000,0,75000,260,1350,96,484 ,0,0,90,50 ,45 ,91 ,45 ,91 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
3010,3,木精灵,38,magicbook.1.woodlv10,magicshow.1.woodct10,100000,0,100000,380,1500,106,572 ,0,0,100,50 ,54 ,108 ,54 ,108 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
